source_label;filter;file_count;ngram_2;ngram_3;ngram_4
Samsung_ORIGINAL;{'brand': 'Samsung', 'processing': 'ORIGINAL'};24;SDLNsmrdavc1avcCavcCpaspavcCsttsco64freeco64trakdinfdrefdrefstblesdssttsfreemdatftypmdatftypmoovhdlrkeyshdlrminfilsttrakkeysilstmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtrakmvhdudtapaspsttssmhddinfsmrdsmtasmrd©xyzsmtametasmtatrakstblstsdstco....stcotrakstscco64stscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudtaSDLNudtasmrdudta©xyzvmhddinf©xyzsmta©xyztrak;SDLNsmrdsmtaSDLNsmrd©xyzavc1avcCpaspavc1avcCsttsavcCpaspsttsavcCsttsstssco64freemdatco64traktkhddinfdrefstbldrefstblstsdesdssttsstszftypmdatmoovftypmoovmvhdhdlrkeysilsthdlrminfsmhdhdlrminfvmhdilsttraktkhdkeysilsttrakmdatmoovmvhdmdhdhdlrminfmdiamdhdhdlrmetahdlrkeysminfsmhddinfminfvmhddinfmoovmvhdtrakmoovmvhdudtamp4aesdssttsmvhdtraktkhdmvhdudtaSDLNmvhdudtasmrdmvhdudta©xyzpaspsttsstsssmhddinfdrefsmrdsmtametasmrdsmtatraksmrd©xyzsmtasmtametahdlrsmtatraktkhdstblstsdavc1stblstsdmp4astcotraktkhdstscco64freestscco64trakstscstco....stscstcotrakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscco64stszstscstcosttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiaudtaSDLNsmrdudtasmrdsmtaudta©xyztrakvmhddinfdref©xyzsmtatrak©xyztraktkhd;SDLNsmrdsmtametaSDLNsmrdsmtatrakSDLNsmrd©xyzsmtaavc1avcCpaspsttsavc1avcCsttsstssavcCpaspsttsstssavcCsttsstssstszco64traktkhdmdiadinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmdatmoovmvhdftypmoovmvhdtrakftypmoovmvhdudtahdlrkeysilsttrakhdlrminfsmhddinfhdlrminfvmhddinfilsttraktkhdmdiakeysilsttraktkhdmdatmoovmvhdudtamdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmetahdlrkeysilstminfsmhddinfdrefminfvmhddinfdrefmoovmvhdtraktkhdmoovmvhdudtaSDLNmoovmvhdudtasmrdmoovmvhdudta©xyzmp4aesdssttsstszmvhdtraktkhdmdiamvhdudtaSDLNsmrdmvhdudtasmrdsmtamvhdudta©xyztrakpaspsttsstssstszsmhddinfdrefstblsmrdsmtametahdlrsmrdsmtatraktkhdsmrd©xyzsmtatraksmtametahdlrkeyssmtatraktkhdmdiastblstsdavc1avcCstblstsdmp4aesdsstcotraktkhdmdiastscco64freemdatstscco64traktkhdstscstcotraktkhdstsdavc1avcCpaspstsdavc1avcCsttsstsdmp4aesdssttsstssstszstscco64stssstszstscstcostszstscco64freestszstscco64trakstszstscstco....stszstscstcotraksttsstssstszstscsttsstszstscco64sttsstszstscstcotkhdmdiamdhdhdlrtraktkhdmdiamdhdudtaSDLNsmrdsmtaudtaSDLNsmrd©xyzudtasmrdsmtatrakudta©xyztraktkhdvmhddinfdrefstbl©xyzsmtatraktkhd©xyztraktkhdmdia
Apple_ORIGINAL;{'brand': 'Apple', 'processing': 'ORIGINAL'};39;avc1avcCavcCcolrchanwavecolrsttsdinfdrefdrefstbledtselstelstmdiaelsttrefesdssttsfreemetafrmamp4aftypwidegmhdgmingminhdlrhdlrdinfhdlrkeyshdlrminfilstfreeilsttrakilstudtakeysilstmdatmoovmdhdhdlrmdiamdhdmebxsttsmetahdlrminfgmhdminfsmhdminfvmhdmoovmvhdmp4achanmp4aesdsmvhdtraksdtpstscsmhdhdlrstblstsdstcometastcotrakstcoudtastscstszstsdavc1stsdmebxstsdmp4astsssdtpstszstcosttsstscsttsstsstaptedtstkhdedtstkhdtapttraktkhdtrefmdiaudta©makudta©modudta©swrvmhdhdlrwavefrmawidemdat©day©mak©day©mod©day©xyz©makfree©mak©swr©mod©mak©mod©swr©swr©day©xyz©mak©xyz©mod;avc1avcCcolravcCcolrsttschanwavefrmacolrsttsstssdinfdrefstbldrefstblstsdedtselstmdiaedtselsttrefelstmdiamdhdelsttrefmdiaesdssttsstscfreemetahdlrfrmamp4aesdsftypwidemdatgmhdgminhdlrgminhdlrdinfhdlrdinfdrefhdlrkeysilsthdlrminfgmhdhdlrminfsmhdhdlrminfvmhdilsttraktkhdilstudta©makilstudta©swrkeysilstfreekeysilsttrakkeysilstudtamdatmoovmvhdmdhdhdlrminfmdiamdhdhdlrmebxsttsstscmetahdlrkeysminfgmhdgminminfsmhdhdlrminfvmhdhdlrmoovmvhdtrakmp4achanwavemp4aesdssttsmvhdtraktkhdsdtpstscstszsmhdhdlrdinfstblstsdavc1stblstsdmebxstblstsdmp4astcometahdlrstcotraktkhdstcoudta©modstscstszstcostsdavc1avcCstsdmebxsttsstsdmp4achanstsssdtpstscstszstcometastszstcotrakstszstcoudtasttsstscstszsttsstsssdtptaptedtselsttkhdedtselsttkhdtaptedtstraktkhdedtstraktkhdtapttrefmdiamdhdudta©mak©swrudta©mod©swrudta©swr©dayvmhdhdlrdinfwavefrmamp4awidemdatmoov©day©makfree©day©xyz©mak©day©xyz©mod©makfreemeta©mak©swr©day©mod©swr©day©swr©day©mak©swr©day©mod©swr©day©xyz©xyz©makfree©xyz©mod©mak;avc1avcCcolrsttsavcCcolrsttsstsschanwavefrmamp4acolrsttsstsssdtpdinfdrefstblstsddrefstblstsdavc1drefstblstsdmebxdrefstblstsdmp4aedtselstmdiamdhdedtselsttrefmdiaelstmdiamdhdhdlrelsttrefmdiamdhdesdssttsstscstszfreemetahdlrkeysfrmamp4aesdssttsftypwidemdatmoovgmhdgminhdlrdinfgminhdlrdinfdrefhdlrdinfdrefstblhdlrkeysilstfreehdlrkeysilsttrakhdlrkeysilstudtahdlrminfgmhdgminhdlrminfsmhdhdlrhdlrminfvmhdhdlrilsttraktkhdedtsilstudta©mak©swrilstudta©swr©daykeysilsttraktkhdkeysilstudta©makkeysilstudta©swrmdatmoovmvhdtrakmdhdhdlrminfgmhdmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmebxsttsstscstszmetahdlrkeysilstminfgmhdgminhdlrminfsmhdhdlrdinfminfvmhdhdlrdinfmoovmvhdtraktkhdmp4achanwavefrmamp4aesdssttsstscmvhdtraktkhdtaptsdtpstscstszstcosmhdhdlrdinfdrefstblstsdavc1avcCstblstsdmebxsttsstblstsdmp4achanstcometahdlrkeysstcotraktkhdedtsstcoudta©mod©swrstscstszstcometastscstszstcotrakstscstszstcoudtastsdavc1avcCcolrstsdmebxsttsstscstsdmp4achanwavestsssdtpstscstszstszstcometahdlrstszstcotraktkhdstszstcoudta©modsttsstscstszstcosttsstsssdtpstsctaptedtselstmdiatkhdedtselstmdiatkhdedtselsttreftkhdtaptedtselsttraktkhdedtselsttraktkhdtaptedtstrefmdiamdhdhdlrudta©mak©swr©dayudta©mod©swr©dayudta©swr©day©xyzvmhdhdlrdinfdrefwavefrmamp4aesdswidemdatmoovmvhd©day©makfreemeta©day©xyz©makfree©day©xyz©mod©mak©makfreemetahdlr©mak©swr©day©mod©mak©swr©day©xyz©mod©swr©day©mak©mod©swr©day©xyz©swr©day©makfree©swr©day©xyz©mak©swr©day©xyz©mod©xyz©makfreemeta
Huawei_ORIGINAL;{'brand': 'Huawei', 'processing': 'ORIGINAL'};15;avc1avcCavcCpaspco64freeco64trakdinfdrefdrefstblesdssttsfreemdatftypmoovhdlrkeyshdlrminfilsttrakkeysilstmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdmetamvhdudtapaspsttssmhddinfstblstsdstcofreestcotrakstscco64stscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudta©xyzvmhddinf©xyztrak;avc1avcCpaspavcCpaspsttsco64freemdatco64traktkhddinfdrefstbldrefstblstsdesdssttsstszftypmoovmvhdhdlrkeysilsthdlrminfsmhdhdlrminfvmhdilsttraktkhdkeysilsttrakmdhdhdlrminfmdiamdhdhdlrmetahdlrkeysminfsmhddinfminfvmhddinfmoovmvhdmetamoovmvhdudtamp4aesdssttsmvhdmetahdlrmvhdudta©xyzpaspsttsstsssmhddinfdrefstblstsdavc1stblstsdmp4astcofreemdatstcotraktkhdstscco64freestscco64trakstscstcofreestscstcotrakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscco64stszstscstcosttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiaudta©xyztrakvmhddinfdref©xyztraktkhd;avc1avcCpaspsttsavcCpaspsttsstssco64traktkhdmdiadinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmoovmvhdmetaftypmoovmvhdudtahdlrkeysilsttrakhdlrminfsmhddinfhdlrminfvmhddinfilsttraktkhdmdiakeysilsttraktkhdmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmetahdlrkeysilstminfsmhddinfdrefminfvmhddinfdrefmoovmvhdmetahdlrmoovmvhdudta©xyzmp4aesdssttsstszmvhdmetahdlrkeysmvhdudta©xyztrakpaspsttsstssstszsmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstcotraktkhdmdiastscco64freemdatstscco64traktkhdstscstcofreemdatstscstcotraktkhdstsdavc1avcCpaspstsdmp4aesdssttsstssstszstscco64stssstszstscstcostszstscco64freestszstscco64trakstszstscstcofreestszstscstcotraksttsstssstszstscsttsstszstscco64sttsstszstscstcotkhdmdiamdhdhdlrtraktkhdmdiamdhdudta©xyztraktkhdvmhddinfdrefstbl©xyztraktkhdmdia
LG_ORIGINAL;{'brand': 'LG', 'processing': 'ORIGINAL'};3;authtrakavc1avcCavcCpaspdinfdrefdrefstblesdssttsfreemdatftypmoovhdlrminfmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdudtapaspsttssmhddinfstblstsdstcofreestcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudtaauthvmhddinf;authtraktkhdavc1avcCpaspavcCpaspsttsdinfdrefstbldrefstblstsdesdssttsstszftypmoovmvhdhdlrminfsmhdhdlrminfvmhdmdhdhdlrminfmdiamdhdhdlrminfsmhddinfminfvmhddinfmoovmvhdudtamp4aesdssttsmvhdudtaauthpaspsttsstsssmhddinfdrefstblstsdavc1stblstsdmp4astcofreemdatstcotraktkhdstscstcofreestscstcotrakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscstcosttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiaudtaauthtrakvmhddinfdref;authtraktkhdmdiaavc1avcCpaspsttsavcCpaspsttsstssdinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmoovmvhdudtahdlrminfsmhddinfhdlrminfvmhddinfmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfminfsmhddinfdrefminfvmhddinfdrefmoovmvhdudtaauthmp4aesdssttsstszmvhdudtaauthtrakpaspsttsstssstszsmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstcotraktkhdmdiastscstcofreemdatstscstcotraktkhdstsdavc1avcCpaspstsdmp4aesdssttsstssstszstscstcostszstscstcofreestszstscstcotraksttsstssstszstscsttsstszstscstcotkhdmdiamdhdhdlrtraktkhdmdiamdhdudtaauthtraktkhdvmhddinfdrefstbl
OnePlus_ORIGINAL;{'brand': 'OnePlus', 'processing': 'ORIGINAL'};6;avc1avcCavcCpaspco64freeco64trakcolrsttsdinfdrefdrefstblesdssttsfreemdatftypmoovhdlrkeyshdlrminfilsttrakkeysilstmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdmetapaspcolrsmhddinfstblstsdstscco64stsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdvmhddinf;avc1avcCpaspavcCpaspcolrco64freemdatco64traktkhdcolrsttsstssdinfdrefstbldrefstblstsdesdssttsstszftypmoovmvhdhdlrkeysilsthdlrminfsmhdhdlrminfvmhdilsttraktkhdkeysilsttrakmdhdhdlrminfmdiamdhdhdlrmetahdlrkeysminfsmhddinfminfvmhddinfmoovmvhdmetamp4aesdssttsmvhdmetahdlrpaspcolrsttssmhddinfdrefstblstsdavc1stblstsdmp4astscco64freestscco64trakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscco64sttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiavmhddinfdref;avc1avcCpaspcolravcCpaspcolrsttsco64traktkhdmdiacolrsttsstssstszdinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmoovmvhdmetahdlrkeysilsttrakhdlrminfsmhddinfhdlrminfvmhddinfilsttraktkhdmdiakeysilsttraktkhdmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmetahdlrkeysilstminfsmhddinfdrefminfvmhddinfdrefmoovmvhdmetahdlrmp4aesdssttsstszmvhdmetahdlrkeyspaspcolrsttsstsssmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstscco64freemdatstscco64traktkhdstsdavc1avcCpaspstsdmp4aesdssttsstssstszstscco64stszstscco64freestszstscco64traksttsstssstszstscsttsstszstscco64tkhdmdiamdhdhdlrtraktkhdmdiamdhdvmhddinfdrefstbl
Xiaomi_ORIGINAL;{'brand': 'Xiaomi', 'processing': 'ORIGINAL'};3;avc1avcCavcCpaspdinfdrefdrefstblesdssttsfreemdatftypmoovhdlrkeyshdlrminfilsttrakkeysilstmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdmetamvhdudtapaspsttssmhddinfstblstsdstcofreestcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudta©xyzvmhddinf©xyzmeta;avc1avcCpaspavcCpaspsttsdinfdrefstbldrefstblstsdesdssttsstszftypmoovmvhdhdlrkeysilsthdlrminfsmhdhdlrminfvmhdilsttraktkhdkeysilsttrakmdhdhdlrminfmdiamdhdhdlrmetahdlrkeysminfsmhddinfminfvmhddinfmoovmvhdmetamoovmvhdudtamp4aesdssttsmvhdmetahdlrmvhdudta©xyzpaspsttsstsssmhddinfdrefstblstsdavc1stblstsdmp4astcofreemdatstcotraktkhdstscstcofreestscstcotrakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscstcosttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiaudta©xyzmetavmhddinfdref©xyzmetahdlr;avc1avcCpaspsttsavcCpaspsttsstssdinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmoovmvhdmetaftypmoovmvhdudtahdlrkeysilsttrakhdlrminfsmhddinfhdlrminfvmhddinfilsttraktkhdmdiakeysilsttraktkhdmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmetahdlrkeysilstminfsmhddinfdrefminfvmhddinfdrefmoovmvhdmetahdlrmoovmvhdudta©xyzmp4aesdssttsstszmvhdmetahdlrkeysmvhdudta©xyzmetapaspsttsstssstszsmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstcotraktkhdmdiastscstcofreemdatstscstcotraktkhdstsdavc1avcCpaspstsdmp4aesdssttsstssstszstscstcostszstscstcofreestszstscstcotraksttsstssstszstscsttsstszstscstcotkhdmdiamdhdhdlrtraktkhdmdiamdhdudta©xyzmetahdlrvmhddinfdrefstbl©xyzmetahdlrkeys
Asus_ORIGINAL;{'brand': 'Asus', 'processing': 'ORIGINAL'};3;avc1avcCavcCpaspdinfdrefdrefstblesdssttsfreemdatftypmoovhdlrkeyshdlrminfilsttrakkeysilstmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdmetapaspsttssmhddinfstblstsdstcofreestcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdvmhddinf;avc1avcCpaspavcCpaspsttsdinfdrefstbldrefstblstsdesdssttsstszftypmoovmvhdhdlrkeysilsthdlrminfsmhdhdlrminfvmhdilsttraktkhdkeysilsttrakmdhdhdlrminfmdiamdhdhdlrmetahdlrkeysminfsmhddinfminfvmhddinfmoovmvhdmetamp4aesdssttsmvhdmetahdlrpaspsttsstsssmhddinfdrefstblstsdavc1stblstsdmp4astcofreemdatstcotraktkhdstscstcofreestscstcotrakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscstcosttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiavmhddinfdref;avc1avcCpaspsttsavcCpaspsttsstssdinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmoovmvhdmetahdlrkeysilsttrakhdlrminfsmhddinfhdlrminfvmhddinfilsttraktkhdmdiakeysilsttraktkhdmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmetahdlrkeysilstminfsmhddinfdrefminfvmhddinfdrefmoovmvhdmetahdlrmp4aesdssttsstszmvhdmetahdlrkeyspaspsttsstssstszsmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstcotraktkhdmdiastscstcofreemdatstscstcotraktkhdstsdavc1avcCpaspstsdmp4aesdssttsstssstszstscstcostszstscstcofreestszstscstcotraksttsstssstszstscsttsstszstscstcotkhdmdiamdhdhdlrtraktkhdmdiamdhdvmhddinfdrefstbl
Wiko_ORIGINAL;{'brand': 'Wiko', 'processing': 'ORIGINAL'};3;avc1avcCavcCpaspdinfdrefdrefstblesdssttsfreemdatftypmoovhdlrminfmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtrakpaspsttssmhddinfstblstsdstcofreestcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdvmhddinf;avc1avcCpaspavcCpaspsttsdinfdrefstbldrefstblstsdesdssttsstszftypmoovmvhdhdlrminfsmhdhdlrminfvmhdmdhdhdlrminfmdiamdhdhdlrminfsmhddinfminfvmhddinfmoovmvhdtrakmp4aesdssttsmvhdtraktkhdpaspsttsstsssmhddinfdrefstblstsdavc1stblstsdmp4astcofreemdatstcotraktkhdstscstcofreestscstcotrakstsdavc1avcCstsdmp4aesdsstssstszstscstszstscstcosttsstssstszsttsstszstsctkhdmdiamdhdtraktkhdmdiavmhddinfdref;avc1avcCpaspsttsavcCpaspsttsstssdinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aesdssttsstszstscftypmoovmvhdtrakhdlrminfsmhddinfhdlrminfvmhddinfmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfminfsmhddinfdrefminfvmhddinfdrefmoovmvhdtraktkhdmp4aesdssttsstszmvhdtraktkhdmdiapaspsttsstssstszsmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstcotraktkhdmdiastscstcofreemdatstscstcotraktkhdstsdavc1avcCpaspstsdmp4aesdssttsstssstszstscstcostszstscstcofreestszstscstcotraksttsstssstszstscsttsstszstscstcotkhdmdiamdhdhdlrtraktkhdmdiamdhdvmhddinfdrefstbl
Microsoft_ORIGINAL;{'brand': 'Microsoft', 'processing': 'ORIGINAL'};3;Xtra©xyzavc1avcCavcCsttscttsstszdinfdrefdrefstbledtselstelstmdiaesdssttsftypmdathdlrilsthdlrminfilstXtramdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksmhddinfstblstsdstcostssstscstcostsdavc1stsdmp4astsstrakstssudtastszstscsttscttssttsstsztkhdedtstkhdmdiatraktkhdudtametavmhddinf;avc1avcCsttsavcCsttscttscttsstszstscdinfdrefstbldrefstblstsdedtselstmdiaelstmdiamdhdesdssttsstszftypmdatmoovhdlrilstXtrahdlrminfsmhdhdlrminfvmhdilstXtra©xyzmdatmoovmvhdmdhdhdlrminfmdiamdhdhdlrmetahdlrilstminfsmhddinfminfvmhddinfmoovmvhdtrakmp4aesdssttsmvhdtraktkhdsmhddinfdrefstblstsdavc1stblstsdmp4astcostsstrakstcostssudtastscstcostssstsdavc1avcCstsdmp4aesdsstsstraktkhdstssudtametastszstscstcosttscttsstszsttsstszstsctkhdedtselsttkhdmdiamdhdtraktkhdedtstraktkhdmdiaudtametahdlrvmhddinfdref;avc1avcCsttscttsavcCsttscttsstszcttsstszstscstcodinfdrefstblstsddrefstblstsdavc1drefstblstsdmp4aedtselstmdiamdhdelstmdiamdhdhdlresdssttsstszstscftypmdatmoovmvhdhdlrilstXtra©xyzhdlrminfsmhddinfhdlrminfvmhddinfmdatmoovmvhdtrakmdhdhdlrminfsmhdmdhdhdlrminfvmhdmdiamdhdhdlrminfmetahdlrilstXtraminfsmhddinfdrefminfvmhddinfdrefmoovmvhdtraktkhdmp4aesdssttsstszmvhdtraktkhdedtssmhddinfdrefstblstblstsdavc1avcCstblstsdmp4aesdsstcostsstraktkhdstcostssudtametastscstcostsstrakstscstcostssudtastsdavc1avcCsttsstsdmp4aesdssttsstsstraktkhdmdiastssudtametahdlrstszstscstcostsssttscttsstszstscsttsstszstscstcotkhdedtselstmdiatkhdmdiamdhdhdlrtraktkhdedtselsttraktkhdmdiamdhdudtametahdlrilstvmhddinfdrefstbl
Sony_ORIGINAL;{'brand': 'Sony', 'processing': 'ORIGINAL'};3;avc1avcCavcCpaspco64freedinfdrefdrefstblfreemdatftypmoovhdlrminfmdatuuidmdhdhdlrmdiamdhdminfvmhdmoovmvhdmvhdtrakpaspsttsstblstsdstscco64stsdavc1stssstszstszstscsttsstsstkhdmdiatraktkhduuiduuidvmhddinf;avc1avcCpaspavcCpaspsttsco64freemdatdinfdrefstbldrefstblstsdfreemdatuuidftypmoovmvhdhdlrminfvmhdmdatuuiduuidmdhdhdlrminfmdiamdhdhdlrminfvmhddinfmoovmvhdtrakmvhdtraktkhdpaspsttsstssstblstsdavc1stscco64freestsdavc1avcCstssstszstscstszstscco64sttsstssstsztkhdmdiamdhdtraktkhdmdiavmhddinfdref;avc1avcCpaspsttsavcCpaspsttsstssco64freemdatuuiddinfdrefstblstsddrefstblstsdavc1freemdatuuiduuidftypmoovmvhdtrakhdlrminfvmhddinfmdhdhdlrminfvmhdmdiamdhdhdlrminfminfvmhddinfdrefmoovmvhdtraktkhdmvhdtraktkhdmdiapaspsttsstssstszstblstsdavc1avcCstscco64freemdatstsdavc1avcCpaspstssstszstscco64stszstscco64freesttsstssstszstsctkhdmdiamdhdhdlrtraktkhdmdiamdhdvmhddinfdrefstbl
